"Processor_Number","Vertical_Segment","nb_of_Cores","Price_USD","Launch_Year","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB"
"G622","Desktop",2,NA,2011,2.6,3,65,32
"","Mobile",1,NA,NA,1,1,7,NA
"735","Mobile",1,NA,NA,1.7,2,7.5,NA
"","Desktop",1,NA,2000,0.733,256,22.8,NA
"","Desktop",1,NA,NA,0.65,256,17,NA
"","Desktop",1,NA,2004,3.2,1,103,NA
"670","Desktop",1,NA,2005,3.8,2,115,NA
"531","Desktop",1,NA,2004,3,1,84,NA
"","Mobile",1,NA,2002,1.7,512,30,NA
"B925C","Embedded",2,NA,2013,2,4,15,NA
"G850","Desktop",2,NA,2011,2.9,3,65,32
"G630","Desktop",2,64,2011,2.7,3,65,32
"","Desktop",1,NA,NA,0.667,256,17.5,NA
"","Desktop",1,NA,NA,0.6,512,34.5,NA
"","Desktop",1,NA,NA,3.2,512,82,NA
"530J","Desktop",1,NA,2004,3,1,84,NA
"","Desktop",1,NA,NA,2.8,1,103,NA
"","Desktop",1,NA,NA,1.9,256,69.2,NA
"","Mobile",1,NA,NA,0.9,256,30.7,NA
"","Mobile",1,NA,NA,0.933,512,20.1,NA
"","Mobile",1,NA,NA,1.8,512,30,NA
"G860","Desktop",2,75,2011,3,3,65,32
"G630T","Desktop",2,72,2011,2.3,3,35,32
"E6800","Desktop",2,93,2010,3.33,2,65,NA
"","Mobile",1,NA,NA,1.2,1,12,NA
"730","Mobile",1,NA,NA,1.6,2,27,NA
"","Desktop",1,NA,NA,0.6,512,34.5,NA
"","Desktop",1,NA,2000,0.6,256,19.5,NA
"960","Desktop",2,316,2006,3.6,4,130,NA
"","Desktop",1,NA,2004,3.2,1,103,NA
"662","Desktop",1,NA,2005,3.6,2,115,NA
"530","Desktop",1,NA,2004,3,1,84,NA
"519K","Desktop",1,NA,2004,3.06,1,84,NA
"","Desktop",1,NA,2002,2.8,512,68.4,NA
"","Desktop",1,NA,NA,1.8,512,68.1,NA
"","Mobile",1,NA,NA,0.85,256,27.5,NA
"","Mobile",1,NA,NA,0.866,512,19.5,NA
"","Mobile",1,NA,NA,1.9,512,32,NA
"G860T","Desktop",2,NA,2012,2.6,3,35,32
"B940","Mobile",2,NA,2011,2,2,35,16
"G632","Desktop",2,NA,2011,2.7,3,65,32
"","Mobile",1,NA,NA,0.4,256,13.1,NA
"","Mobile",1,NA,2003,1.1,1,12,NA
"","Desktop",1,NA,NA,0.6,256,15.8,NA
"","Desktop",1,NA,NA,0.55,512,30.8,NA
"950","Desktop",2,224,2006,3.4,4,130,NA
"","Desktop",1,NA,2004,3,1,89,NA
"661","Desktop",1,NA,2006,3.6,2,86,NA
"524","Desktop",1,NA,2006,3.06,1,84,NA
"519","Desktop",1,NA,NA,3.06,1,84,NA
"520","Desktop",1,NA,NA,2.8,1,84,NA
"","Desktop",1,NA,NA,1.8,256,66.7,NA
"","Mobile",1,NA,NA,0.8,256,25.9,NA
"","Mobile",1,NA,NA,2,512,32,NA
"B950","Mobile",2,NA,2011,2.1,2,35,16
"G870","Desktop",2,82,2012,3.1,3,65,32
"G640","Desktop",2,64,2012,2.8,3,65,32
"","Mobile",1,NA,NA,0.366,256,13.1,NA
"E6700","Desktop",2,NA,2010,3.2,2,65,NA
"E5800","Desktop",2,72,2010,3.2,2,65,NA
"T2390","Mobile",2,NA,NA,1.86,1,35,NA
