"Processor_Number","Vertical_Segment","nb_of_Cores","nb_of_Threads","Max_nb_of_Memory_Channels","PCI_Express_Revision","Max_nb_of_PCI_Express_Lanes","Price_USD","Launch_Year","Lithography_nm","Base_Frequency_GHz","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB","Memory_Bandwidth_GBs"
"T2060","Mobile",2,2,2,3,12,275,2007,65,1.6,1.6,1,31,16,25.6
"955","Desktop",2,2,2,3,16,999,2006,65,3.46,3.46,4,130,32,25.6
"840","Desktop",2,2,2,3,16,75,2005,90,3.2,3.2,2,130,32,25.6
"705","Mobile",1,1,2,3,12,64,2002,130,1.5,1.5,1,24.5,16,25.6
"","Desktop",1,1,2,3,16,37,2000,180,1,1,256,29,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,1,1,256,29,32,25.6
"915","Desktop",2,2,2,3,16,74,2006,65,2.8,2.8,4,95,32,25.6
"805","Desktop",2,2,2,3,16,93,2005,90,2.66,2.66,2,95,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,3.06,3.06,512,81.8,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,2.4,2.4,512,66.2,32,25.6
"","Desktop",1,1,2,3,16,37,2004,130,3.46,3.46,2,110.7,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,3.2,3.2,2,92.1,32,25.6
"630","Desktop",1,1,2,3,16,37,2005,90,3,3,2,84,32,25.6
"620","Desktop",1,1,2,3,16,37,2004,90,2.8,2.8,2,84,32,25.6
"517","Desktop",1,1,2,3,16,37,2005,90,2.93,2.93,1,84,32,25.6
"505","Desktop",1,1,2,3,16,37,2004,90,2.66,2.66,1,84,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,2.26,2.26,512,58,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,1.3,1.3,256,51.6,32,25.6
"","Mobile",1,1,2,3,12,64,2000,180,1,1,256,34,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,1,1,512,20.5,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,2.4,2.4,512,59.8,16,25.6
"G1610T","Desktop",2,2,2,2,16,42,2013,22,2.3,2.3,2,35,32,21
"G1620","Desktop",2,2,2,2,16,75,2013,22,2.7,2.7,2,55,32,21
"G1620T","Desktop",2,2,2,2,16,42,2013,22,2.4,2.4,2,35,32,21
"G1820","Desktop",2,2,2,3,16,42,2014,22,2.7,2.7,2,53,32,21.3
"G1630","Desktop",2,2,2,2,16,52,2013,22,2.8,2.8,2,55,32,21
"G1820T","Desktop",2,2,2,3,16,42,2014,22,2.4,2.4,2,35,32,21.3
"G1820TE","Embedded",2,2,2,3,16,42,2014,22,2.2,2.2,2,35,32,21.3
"G1830","Desktop",2,2,2,3,16,52,2014,22,2.8,2.8,2,53,32,21.3
"G1840","Desktop",2,2,2,3,16,42,2014,22,2.8,2.8,2,53,32,21.3
"G1840T","Desktop",2,2,2,3,16,42,2014,22,2.5,2.5,2,35,32,21.3
"G1850","Desktop",2,2,2,3,16,52,2014,22,2.9,2.9,2,53,32,21.3
"G3900","Desktop",2,2,2,3,16,42,2015,14,2.8,2.8,2,51,64,34.1
"G3900T","Desktop",2,2,2,3,16,75,2015,14,2.6,2.6,2,35,64,34.1
"G3900E","Embedded",2,2,2,3,16,107,2016,14,2.4,2.4,2,35,64,34.1
"G3900TE","Embedded",2,2,2,3,16,42,2015,14,2.3,2.3,2,35,64,34.1
"G3920","Desktop",2,2,2,3,16,52,2015,14,2.9,2.9,2,51,64,34.1
"G3902E","Embedded",2,2,2,3,16,107,2016,14,1.6,1.6,2,25,64,34.1
"G3930","Desktop",2,2,2,3,16,42,2017,14,2.9,2.9,2,51,64,34.1
"G3930T","Desktop",2,2,2,3,16,42,2017,14,2.7,2.7,2,35,64,34.1
"G3950","Desktop",2,2,2,3,16,52,2017,14,3,3,2,51,64,34.1
"J1800","Desktop",2,2,2,2,4,72,2013,22,2.41,2.41,1,10,8,25.6
"J1900","Desktop",4,4,2,2,4,82,2013,22,2,2,2,10,8,25.6
"J1850","Desktop",4,4,2,2,4,222.5,2013,22,2,2,2,10,8,25.6
"J3060","Desktop",2,2,2,2,4,107,2016,14,1.6,1.6,2,6,8,34.1
"J3160","Desktop",4,4,2,2,4,222.5,2016,14,1.6,1.6,2,6,8,34.1
"J3355","Desktop",2,2,2,2,6,107,2016,14,2,2,2,10,8,34.1
"J3455","Desktop",4,4,2,2,6,107,2016,14,1.5,1.5,2,10,8,34.1
"N2806","Mobile",2,2,1,2,4,107,2013,22,1.6,1.6,1,4.5,4,25.6
"N2807","Mobile",2,2,1,2,4,107,2014,22,1.58,1.58,1,4.3,4,25.6
"N2808","Mobile",2,2,1,2,4,107,2014,22,1.58,1.58,1,4.5,4,10.66
"N2810","Mobile",2,2,2,2,4,275,2013,22,2,2,1,7.5,8,25.6
"N2815","Mobile",2,2,2,2,4,275,2013,22,1.86,1.86,1,7.5,8,25.6
"N2820","Mobile",2,2,2,2,4,275,2013,22,2.13,2.13,1,7.5,8,25.6
"N2830","Mobile",2,2,2,2,4,107,2014,22,2.16,2.16,1,7.5,8,25.6
"N2840","Mobile",2,2,2,2,4,107,2014,22,2.16,2.16,1,7.5,8,21.32
"N2910","Mobile",4,4,2,2,4,378,2013,22,1.6,1.6,2,7.5,8.79,25.6
"N2920","Mobile",4,4,2,2,4,378,2013,22,1.86,1.86,2,7.5,8,25.6
"N2930","Mobile",4,4,2,2,4,107,2014,22,1.83,1.83,2,7.5,8,25.6
"N2940","Mobile",4,4,2,2,4,107,2014,22,1.83,1.83,2,7.5,8,21.32
"N3450","Mobile",4,4,2,2,6,107,2016,14,1.1,1.1,2,6,8,34.1
"N3350","Mobile",2,2,2,2,6,107,2016,14,1.1,1.1,2,6,8,34.1
"N3160","Mobile",4,4,2,2,4,107,2016,14,1.6,1.6,2,6,8,34.1
"N3150","Mobile",4,4,2,2,4,107,2015,14,1.6,1.6,2,6,8,29.8
"N3060","Mobile",2,2,2,2,4,107,2016,14,1.6,1.6,2,6,8,34.1
"N3050","Mobile",2,2,2,2,4,107,2015,14,1.6,1.6,2,6,8,29.8
"N3010","Mobile",2,2,2,2,4,107,2016,14,1.04,1.04,2,4,8,34.1
"N3000","Mobile",2,2,2,2,4,107,2015,14,1.04,1.04,2,4,8,29.8
"3215U","Mobile",2,2,2,2,12,107,2015,14,1.7,1.7,2,15,16,25.6
"3755U","Mobile",2,2,2,2,12,107,2015,14,1.7,1.7,2,15,16,25.6
"3765U","Mobile",2,2,2,2,12,107,2015,14,1.9,1.9,2,15,16,25.6
"3855U","Mobile",2,2,2,2,10,107,2015,14,1.6,1.6,2,15,32,34.1
"3955U","Mobile",2,2,2,3,12,107,2015,14,2,2,2,15,32,34.1
"3865U","Mobile",2,2,2,2,10,107,2017,14,1.8,1.8,2,15,32,34.1
"3965Y","Mobile",2,2,2,3,10,275,2017,14,1.5,1.5,2,6,16,29.8
"3965U","Mobile",2,2,2,2,10,107,2017,14,2.2,2.2,2,15,32,34.1
"i5-7Y54","Mobile",2,4,2,3,10,281,2016,14,1.2,3.2,4,4.5,16,29.8
"i5-7200U","Mobile",2,4,2,3,12,281,2016,14,2.5,3.1,3,15,32,34.1
"i5-7260U","Mobile",2,4,2,3,12,304,2017,14,2.2,3.4,4,15,32,34.1
"i5-7267U","Mobile",2,4,2,3,12,275,2017,14,3.1,3.5,4,28,32,34.1
"i5-7287U","Mobile",2,4,2,3,12,275,2017,14,3.3,3.7,4,28,32,34.1
"i5-7300HQ","Mobile",4,4,2,3,16,250,2017,14,2.5,3.5,6,45,64,34.1
"i5-7300U","Mobile",2,4,2,3,12,281,2017,14,2.6,3.5,3,15,32,34.1
"i5-7360U","Mobile",2,4,2,3,12,304,2017,14,2.3,3.6,4,15,32,34.1
"i5-7400","Desktop",4,4,2,3,16,182,2017,14,3,3.5,6,65,64,34.1
"i5-7400T","Desktop",4,4,2,3,16,222.5,2017,14,2.4,3,6,35,64,34.1
"i5-7440EQ","Embedded",4,4,2,3,16,250,2017,14,2.9,3.6,6,45,64,34.1
"i5-7440HQ","Mobile",4,4,2,3,16,378,2017,14,2.8,3.8,6,45,64,34.1
"i5-7442EQ","Embedded",4,4,2,3,16,250,2017,14,2.1,2.9,6,25,64,34.1
"i5-7500T","Desktop",4,4,2,3,16,222.5,2017,14,2.7,3.3,6,35,64,34.1
"i5-7500","Desktop",4,4,2,3,16,222.5,2017,14,3.4,3.8,6,65,64,34.1
"i5-7600","Desktop",4,4,2,3,16,222.5,2017,14,3.5,4.1,6,65,64,34.1
"i5-7600T","Desktop",4,4,2,3,16,222.5,2017,14,2.8,3.7,6,35,64,34.1
"i5-7600K","Desktop",4,4,2,3,16,222.5,2017,14,3.8,4.2,6,91,64,34.1
"i7-3920XM","Mobile",4,8,2,3,16,1096,2012,22,2.9,3.8,8,55,32,25.6
"i7-3930K","Desktop",6,12,4,2,40,594,2011,32,3.2,3.8,12,130,64.23,51.2
"i7-3940XM","Mobile",4,8,2,3,16,1096,2012,22,3,3.9,8,55,32,25.6
"i7-3960X","Desktop",6,12,4,2,40,1059,2011,32,3.3,3.9,15,130,64,51.2
"i7-3970X","Desktop",6,12,4,2,40,1059,2012,32,3.5,4,15,150,64.45,51.2
"i7-4820K","Desktop",4,8,4,3,40,332,2013,22,3.7,3.9,10,130,64,59.7
"i7-4930MX","Mobile",4,8,2,3,16,378,2013,22,3,3.9,8,57,32,25.6
"i7-4930K","Desktop",6,12,4,3,40,594,2013,22,3.4,3.9,12,130,64,59.7
"i7-4940MX","Mobile",4,8,2,3,16,378,2014,22,3.1,4,8,57,32,25.6
"i7-4960X","Desktop",6,12,4,3,40,1059,2013,22,3.6,4,15,130,64,59.7
"i7-5820K","Desktop",6,12,4,3,28,1059,2014,22,3.3,3.6,15,140,64,68
"i7-5930K","Desktop",6,12,4,3,40,1059,2014,22,3.5,3.7,15,140,64,68
"i7-5960X","Desktop",8,16,4,3,40,275,2014,22,3,3.5,20,140,64,68
"i7-6800K","Desktop",6,12,4,3,28,1059,2016,14,3.4,3.6,15,140,128,34.1
"i7-6850K","Desktop",6,12,4,3,40,1059,2016,14,3.6,3.8,15,140,128,34.1
"i7-6900K","Desktop",8,16,4,3,40,275,2016,14,3.2,3.7,20,140,128,34.1
"i7-6950X","Desktop",10,20,4,3,40,275,2016,14,3,3.5,25,140,128,34.1
"i5-7640X","Desktop",4,4,2,3,16,222.5,2017,14,4,4.2,6,112,64,34.1
"i7-7740X","Desktop",4,8,2,3,16,222.5,2017,14,4.3,4.5,8,112,64,34.1
"i7-7800X","Desktop",6,12,4,3,28,1059,2017,14,3.5,4,8.25,140,128,34.1
"i9-7900X","Desktop",10,20,4,3,44,275,2017,14,3.3,4.3,13.75,140,128,34.1
"i7-7820X","Desktop",8,16,4,3,28,275,2017,14,3.6,4.3,11,140,128,34.1
"i9-7920X","Desktop",12,24,4,3,44,275,2017,14,2.9,4.3,16.5,140,128,34.1
"i7-8650U","Mobile",4,8,2,3,12,409,2017,14,1.9,4.2,8,15,32,34.1
"i5-8350U","Mobile",4,8,2,3,12,297,2017,14,1.7,3.6,6,15,32,34.1
"i7-7500U","Mobile",2,4,2,3,12,393,2016,14,2.7,3.5,4,15,32,34.1
"i7-7560U","Mobile",2,4,2,3,12,415,2017,14,2.4,3.8,4,15,32,34.1
"i7-7567U","Mobile",2,4,2,3,12,275,2017,14,3.5,4,4,28,32,34.1
"i7-7600U","Mobile",2,4,2,3,12,393,2017,14,2.8,3.9,4,15,32,34.1
"i7-7660U","Mobile",2,4,2,3,12,415,2017,14,2.5,4,4,15,32,34.1
"i7-7700T","Desktop",4,8,2,3,16,222.5,2017,14,2.9,3.8,8,35,64,34.1
"i7-7700K","Desktop",4,8,2,3,16,222.5,2017,14,4.2,4.5,8,91,64,34.1
"i7-7700","Desktop",4,8,2,3,16,222.5,2017,14,3.6,4.2,8,65,64,34.1
"i7-7700HQ","Mobile",4,8,2,3,16,378,2017,14,2.8,3.8,6,45,64,34.1
"i7-7820EQ","Embedded",4,8,2,3,16,378,2017,14,3,3.7,8,45,64,34.1
"i7-7820HK","Mobile",4,8,2,3,16,378,2017,14,2.9,3.9,8,45,64,34.1
"i7-7820HQ","Mobile",4,8,2,3,16,378,2017,14,2.9,3.9,8,45,64,34.1
"i7-7920HQ","Mobile",4,8,2,3,16,568,2017,14,3.1,4.1,8,45,64,34.1
"X1021D","Embedded",1,1,1,2,2,12.85,2014,32,0.4,0.4,16,2.2,2,1.6
"E620","Embedded",1,2,1,1,4,19,2010,45,0.6,0.6,512,3.3,2,17.1
"N2600","Mobile",2,4,1,3,12,42,2011,32,1.6,1.6,1,3.5,2.44,21.3
"E3805","Embedded",2,2,1,2,4,31,2014,22,1.33,1.33,1,3,8,25.6
"D2500","Desktop",2,2,1,3,4,42,2011,32,1.86,1.86,1,10,4,6.4
"C2316","Embedded",2,2,1,2,8,39,2017,22,1.5,1.5,1,7,16,34.1
"","Server",1,1,4,3,40,1850,2002,130,1.66,1.66,6,122,384,25.6
"","Server",1,1,4,3,40,1850,2002,130,1.6,1.6,6,122,384,25.6
"","Server",1,1,4,3,40,1850,2002,130,0.9,0.9,1.5,90,384,25.6
"9010","Server",2,2,4,3,40,343,2004,90,1.6,1.6,6,104,384,25.6
"9110N","Server",1,1,4,3,40,696,2007,90,1.6,1.6,12,75,384,25.6
"9310","Server",2,4,4,3,40,946,2010,65,1.6,1.6,10,130,384,25.6
"9320","Server",4,8,4,3,40,1614,2010,65,1.33,1.47,16,155,384,25.6
"9330","Server",4,8,4,3,40,2059,2010,65,1.46,1.6,20,155,384,25.6
"9340","Server",4,8,4,3,40,2059,2010,65,1.6,1.73,20,185,384,25.6
"9350","Server",4,8,4,3,40,3838,2010,65,1.73,1.87,24,185,384,25.6
"9120N","Server",2,2,4,3,40,910,2007,90,1.42,1.42,12,104,384,25.6
"9130M","Server",2,2,4,3,40,1552,2007,90,1.66,1.66,8,104,384,25.6
"9140M","Server",2,2,4,3,40,1980,2007,90,1.66,1.66,18,104,384,25.6
"9140N","Server",2,2,4,3,40,1980,2007,90,1.6,1.6,18,104,384,25.6
"9150M","Server",2,2,4,3,40,3692,2007,90,1.66,1.66,24,104,384,25.6
"9150N","Server",2,2,4,3,40,3692,2007,90,1.6,1.6,24,104,384,25.6
"9152M","Server",2,2,4,3,40,343,2007,90,1.66,1.66,24,104,384,25.6
"9015","Server",2,2,4,3,40,343,2007,90,1.4,1.4,12,104,384,25.6
"9020","Server",2,2,4,3,40,343,2004,90,1.42,1.42,12,104,384,25.6
"9030","Server",2,2,4,3,40,343,2004,90,1.6,1.6,8,104,384,25.6
"9040","Server",2,2,4,3,40,343,2004,90,1.6,1.6,18,104,384,25.6
"9050","Server",2,2,4,3,40,343,2004,90,1.6,1.6,24,104,384,25.6
"","Server",1,1,4,3,40,1850,2002,130,1,1,3,100,384,25.6
"","Server",1,1,4,3,40,1850,2002,130,1.3,1.3,3,97,384,25.6
"","Server",1,1,4,3,40,1850,2002,130,1.4,1.4,4,91,384,25.6
"","Server",1,1,4,3,40,1850,2002,130,1.5,1.5,4,107,384,25.6
"","Server",1,1,4,3,40,1850,2002,130,1.5,1.5,6,107,384,25.6
"","Server",1,1,4,3,40,1850,2002,130,1.6,1.6,9,122,384,25.6
"","Server",1,1,4,3,40,1850,2002,130,1.66,1.66,9,122,384,25.6
"C2350","Server",2,2,1,2,4,43,2013,22,1.7,2,1,6,16,10.7
"C2516","Embedded",4,4,2,2,8,64,2017,22,1.4,1.4,2,10,32,34.1
"C2530","Server",4,4,2,2,8,70,2013,22,1.7,2.4,2,9,32,21.3
"C2550","Server",4,4,2,2,16,86,2013,22,2.4,2.6,2,14,64,25.6
"C2730","Server",8,8,2,2,8,150,2013,22,1.7,2.4,4,12,32,25.6
"C2750","Server",8,8,2,2,16,171,2013,22,2.4,2.6,4,20,64,25.6
"C2308","Embedded",2,2,1,2,4,60,2014,22,1.25,1.25,1,6,16,25.6
"C2338","Embedded",2,2,1,2,8,60,2013,22,1.7,2,1,7,16,25.6
"C2358","Embedded",2,2,1,2,8,60,2013,22,1.7,2,1,7,16,25.6
"C2508","Embedded",4,4,2,2,8,98,2014,22,1.25,1.25,2,9.5,32,25.6
"C2518","Embedded",4,4,2,2,16,91,2013,22,1.7,1.7,2,13,32,25.6
"C2538","Embedded",4,4,2,2,16,104,2013,22,2.4,2.4,2,15,64,25.6
"C2558","Embedded",4,4,2,2,16,104,2013,22,2.4,2.4,2,15,64,25.6
"C2718","Embedded",8,8,2,2,16,182,2013,22,2,2,4,18,32,25.6
"C2758","Embedded",8,8,2,2,16,208,2013,22,2.4,2.4,4,20,64,25.6
"C2738","Embedded",8,8,2,2,16,208,2013,22,2.4,2.4,4,20,64,25.6
"C3958","Server",16,16,2,3,16,449,2017,14,2,2,16,31,256,37.5
"C3955","Server",16,16,2,3,16,434,2017,14,2.1,2.4,16,32,256,37.5
"C3950","Server",16,16,2,3,16,389,2017,14,1.7,2.2,16,24,256,37.5
"C3830","Server",12,12,2,3,12,289,2017,14,1.9,2.3,12,21.5,256,37.5
"C3858","Server",12,12,2,3,16,332,2017,14,2,2,12,25,256,37.5
"C3850","Server",12,12,2,3,16,323,2017,14,2.1,2.4,12,25,256,37.5
"C3808","Server",12,12,2,3,16,369,2017,14,2,2,12,25,256,37.5
"C3758","Server",8,8,2,3,16,193,2017,14,2.2,2.2,16,25,256,37.5
"C3750","Server",8,8,2,3,12,171,2017,14,2.2,2.4,16,21,256,37.5
"C3708","Server",8,8,2,3,16,209,2017,14,1.7,1.7,16,17,256,37.5
"C3558","Server",4,4,2,3,12,86,2017,14,2.2,2.2,8,16,256,37.5
"C3538","Server",4,4,2,3,12,75,2017,14,2.1,2.1,8,15,256,37.5
"C3508","Server",4,4,2,3,8,86,2017,14,1.6,1.6,8,11.5,256,37.5
"C3338","Server",2,2,1,3,10,27,2017,14,1.5,2.2,4,9,128,37.5
"C3308","Server",2,2,1,3,6,32,2017,14,1.6,2.1,4,9.5,128,37.5
"D2550","Desktop",2,4,1,3,4,47,2012,32,1.86,1.86,1,10,4,6.4
"D2700","Desktop",2,4,1,3,4,75,2011,32,2.13,2.13,1,10,4,6.4
"E3815","Embedded",1,1,1,2,4,31,2013,22,1.46,1.46,512,5,8,25.6
"E3825","Embedded",2,2,1,2,4,34,2013,22,1.33,1.33,1,6,8,25.6
"E3826","Embedded",2,2,2,2,4,37,2013,22,1.46,1.46,1,7,8,25.6
"E3827","Embedded",2,2,2,2,4,41,2013,22,1.75,1.75,1,8,8,25.6
"E3845","Embedded",4,4,2,2,4,52,2013,22,1.91,1.91,2,10,8,25.6
"N2800","Mobile",2,4,1,3,12,47,2011,32,1.86,1.86,1,6.5,4.88,21.3
"S1220","Server",2,4,1,2,8,54,2012,32,1.6,1.6,1,8.1,8,10.6
"S1240","Server",2,4,1,2,8,64,2012,32,1.6,1.6,1,6.1,8,10.6
"S1260","Server",2,4,1,2,8,343,2012,32,2,2,1,8.5,8,10.6
"S1269","Server",2,4,1,2,32,80,2013,32,1.6,1.6,1,11.7,8,51.2
"S1279","Server",2,4,1,2,40,103,2013,32,1.6,1.6,1,13.1,8,51.2
"S1289","Server",2,4,1,2,40,120,2013,32,2,2,1,14.1,8,51.2
"E8000","Embedded",4,4,2,2,4,39,2016,14,1.04,1.04,2,5,8,63.85
"E3930","Embedded",2,2,4,2,6,210,2016,14,1.3,1.3,2,6.5,8,34.1
"E3940","Embedded",4,4,4,2,6,377,2016,14,1.6,1.6,2,9.5,8,34.1
"E3950","Embedded",4,4,4,2,6,377,2016,14,1.6,1.6,2,12,8,38.4
"E620T","Embedded",1,2,1,1,4,22,2010,45,0.6,0.6,512,3.3,2,17.1
"Z500","Mobile",1,1,2,3,12,64,2008,45,0.8,0.8,512,0.65,16,25.6
"Z510","Mobile",1,1,2,3,12,20,2008,45,1.1,1.1,512,2,16,25.6
"E640","Embedded",1,2,1,1,4,29,2010,45,1,1,512,3.6,2,17.1
"Z600","Mobile",1,2,1,3,0,64,2010,45,1.2,1.2,512,1.3,1,1.6
"Z510P","Mobile",1,1,2,3,12,20,2008,45,1.1,1.1,512,2.2,16,25.6
"E640T","Embedded",1,2,1,1,4,37,2010,45,1,1,512,3.6,2,17.1
"Z510PT","Mobile",1,1,2,3,12,27,2008,45,1.1,1.1,512,2.2,16,25.6
"E645C","Embedded",1,2,1,3,2,30,2010,45,1,1,512,7,2.93,17.1
"Z515","Mobile",1,1,2,3,12,64,2009,45,1.2,1.2,512,1.4,16,21
"E645CT","Embedded",1,2,1,3,2,30,2010,45,1,1,512,7,2.93,17.1
"230","Desktop",1,1,2,3,16,29,2008,45,1.6,1.6,512,4,32,25.6
"Z520","Mobile",1,1,2,3,12,64,2008,45,1.33,1.33,512,2,16,25.6
"E660","Embedded",1,2,1,1,4,54,2010,45,1.3,1.3,512,3.6,2,17.1
"Z615","Mobile",1,2,1,3,0,64,2010,45,1.6,1.6,512,2.2,2,3.2
"Z520PT","Mobile",1,1,2,3,12,50,2008,45,1.33,1.33,512,2.2,16,25.6
"E660T","Embedded",1,2,1,1,4,64,2010,45,1.3,1.3,512,3.6,2,17.1
"Z530","Mobile",1,1,2,3,12,65,2008,45,1.6,1.6,512,2,16,25.6
"E665C","Embedded",1,2,1,3,2,30,2010,45,1.3,1.3,512,7,2.93,17.1
"Z625","Mobile",1,2,1,3,0,64,2010,45,1.9,1.9,512,2.2,2,3.2
"N450","Mobile",1,2,1,3,12,64,2010,45,1.66,1.66,512,5.5,2,17.1
"Z530P","Mobile",1,1,2,3,12,65,2008,45,1.6,1.6,512,2.2,16,25.6
"Z650","Mobile",1,2,1,3,12,64,2011,45,1.2,1.2,512,3,2.93,21.3
"E665CT","Embedded",1,2,1,3,2,30,2010,45,1.3,1.3,512,7,2.93,17.1
"N455","Mobile",1,2,1,3,12,64,2010,45,1.66,1.66,512,6.5,2,17.1
"D410","Desktop",1,2,1,3,16,43,2010,45,1.66,1.66,512,10,4,6.4
"D510","Desktop",2,4,1,3,16,63,2010,45,1.66,1.66,1,13,4,6.4
"Z540","Mobile",1,1,2,3,12,64,2008,45,1.86,1.86,512,2.4,16,25.6
"Z670","Mobile",1,2,1,3,12,64,2011,45,1.5,1.5,512,3,2.93,21.3
"E680","Embedded",1,2,1,1,4,74,2010,45,1.6,1.6,512,4.5,2,17.1
"N550","Mobile",2,4,1,3,12,275,2010,45,1.5,1.5,1,8.5,2,17.1
"N470","Mobile",1,2,1,3,12,64,2010,45,1.83,1.83,512,6.5,2,17.1
"Z550","Mobile",1,1,2,3,12,64,2009,45,2,2,512,2.4,16,21
"N270","Mobile",1,1,2,3,12,32,2008,45,1.6,1.6,512,2.5,16,25.6
"330","Desktop",2,2,2,3,16,75,2008,45,1.6,1.6,1,8,32,25.6
"N570","Mobile",2,4,1,3,12,275,2011,45,1.66,1.66,1,8.5,2,21.3
"E680T","Embedded",1,2,1,1,4,85,2010,45,1.6,1.6,512,4.5,2,17.1
"Z560","Mobile",1,1,2,3,12,64,2010,45,2.13,2.13,512,2.5,16,17.1
"N475","Mobile",1,2,1,3,12,64,2010,45,1.83,1.83,512,6.5,2,17.1
"D525","Desktop",2,4,1,3,16,63,2010,45,1.8,1.8,1,13,4,6.4
"D425","Desktop",1,2,1,3,16,42,2010,45,1.8,1.8,512,10,4,6.4
"N280","Mobile",1,1,2,3,12,64,2009,45,1.66,1.66,512,2.5,16,21
"X1021","Embedded",1,1,1,2,2,13.39,2014,32,0.4,0.4,16,2.2,2,1.6
"X1020D","Embedded",1,1,1,2,2,10.7,2014,32,0.4,0.4,16,2.2,2,1.6
"X1020","Embedded",1,1,1,2,2,11.23,2014,32,0.4,0.4,16,2.2,2,1.6
"X1011","Embedded",1,1,1,2,2,12.31,2014,32,0.4,0.4,16,2.2,2,1.6
"X1010","Embedded",1,1,1,2,2,10.16,2014,32,0.4,0.4,16,2.2,2,1.6
"X1001","Embedded",1,1,1,2,2,11.77,2014,32,0.4,0.4,16,2.2,2,1.6
"X1000","Embedded",1,1,1,2,2,9.62,2013,32,0.4,0.4,16,2.2,2,1.6
"9520","Server",4,8,4,3,40,1350,2012,32,1.73,1.73,20,130,384,38.4
"9760","Server",8,16,4,3,40,4650,2017,32,2.66,2.66,32,170,384,37.5
"7290F","Server",72,72,6,3,4,3368,2016,14,1.5,1.7,36,260,384,115.2
"3120A","Server",57,57,12,2,40,275,2013,22,1.1,1.1,28.5,300,6,240
"3120P","Server",57,57,12,2,40,275,2013,22,1.1,1.1,28.5,300,6,240
"E3-1290","Server",4,8,2,2,20,417,2011,32,3.6,4,8,95,32,21
"D-1513N","Server",4,8,2,2,32,192,2017,14,1.6,2.2,6,35,128,37.5
"E5603","Server",4,4,3,3,40,417,2011,32,1.6,1.6,4,80,288,25.6
"E3-1220 v3","Server",4,4,2,3,16,417,2013,22,3.1,3.5,8,80,32,25.6
"E3-1258LV4","Embedded",4,8,2,3,16,393,2015,14,1.8,3.2,6,47,32,25.6
"E3-1220V5","Server",4,4,2,3,16,417,2015,14,3,3.5,8,80,64,34.1
"E3-1220V6","Server",4,4,2,3,16,417,2017,14,3,3.5,8,72,64,37.5
"E5-2690","Server",8,16,4,3,40,1223,2012,32,2.9,3.8,20,135,384,51.2
"E5-2697V2","Server",12,24,4,3,40,2050.5,2013,22,2.7,3.5,30,130,768,59.7
"E5-2695V2","Server",12,24,4,3,40,2050.5,2013,22,2.4,3.2,30,115,768,59.7
"E5-1620V4","Server",4,8,4,3,40,417,2016,14,3.5,3.8,10,140,1576.96,76.8
"E5-1630V4","Server",4,8,4,3,40,406,2016,14,3.7,4,10,140,1576.96,76.8
"E5-1650V4","Server",6,12,4,3,40,639.5,2016,14,3.6,4,15,140,1576.96,76.8
"E5-1660V4","Server",8,16,4,3,40,1113,2016,14,3.2,3.8,20,140,1576.96,76.8
"E5-1680V4","Server",8,16,4,3,40,1723,2016,14,3.4,4,20,140,1576.96,76.8
"E5-2603V4","Server",6,6,4,3,40,213,2016,14,1.7,1.7,15,85,1576.96,59.7
"E5-2608LV4","Embedded",8,16,4,3,40,363,2016,14,1.6,1.7,20,50,1576.96,59.7
"E5-2609V4","Server",8,8,4,3,40,1223,2016,14,1.7,1.7,20,85,1576.96,59.7
"E5-2618LV4","Embedded",10,20,4,3,40,779,2016,14,2.2,3.2,25,75,1576.96,68.3
"E5-2620V4","Server",8,16,4,3,40,1223,2016,14,2.1,3,20,85,1576.96,68.3
"E5-2623V4","Server",4,8,4,3,40,444,2016,14,2.6,3.2,10,85,1576.96,68.3
"E5-2628LV4","Embedded",12,24,4,3,40,1364,2016,14,1.9,2.4,30,75,1576.96,68.3
"E5-2630LV4","Server",10,20,4,3,40,612,2016,14,1.8,2.9,25,55,1576.96,68.3
"E5-2630V4","Server",10,20,4,3,40,2225,2016,14,2.2,3.1,25,85,1576.96,68.3
"E5-2637V4","Server",4,8,4,3,40,996,2016,14,3.5,3.7,15,135,1576.96,76.8
"E5-2640V4","Server",10,20,4,3,40,939,2016,14,2.4,3.4,25,90,1576.96,68.3
"E5-2643V4","Server",6,12,4,3,40,1552,2016,14,3.4,3.7,20,135,1576.96,76.8
"E5-2648LV4","Embedded",14,28,4,3,40,1544,2016,14,1.8,2.5,35,75,1576.96,76.8
"E5-2650LV4","Server",14,28,4,3,40,1329,2016,14,1.7,2.5,35,65,1576.96,76.8
"E5-2650V4","Server",12,24,4,3,40,2050.5,2016,14,2.2,2.9,30,105,1576.96,76.8
"E5-2660V4","Server",14,28,4,3,40,1445,2016,14,2,3.2,35,105,384,76.8
"E5-2667V4","Server",8,16,4,3,40,2057,2016,14,3.2,3.6,25,135,1576.96,76.8
