"Processor_Number","Vertical_Segment","nb_of_Cores","Price_USD","Launch_Year","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB"
"i7-7600U","Mobile",2,393,2017,3.9,4,15,32
"i7-7660U","Mobile",2,415,2017,4,4,15,32
"i7-7700HQ","Mobile",4,378,2017,3.8,6,45,64
"i7-7820EQ","Embedded",4,378,2017,3.7,8,45,64
"i7-7820HK","Mobile",4,378,2017,3.9,8,45,64
"i7-7820HQ","Mobile",4,378,2017,3.9,8,45,64
"i7-7920HQ","Mobile",4,568,2017,4.1,8,45,64
"X1021D","Embedded",1,12.85,2014,0.4,16,2.2,2
"E620","Embedded",1,19,2010,0.6,512,3.3,2
"N2600","Mobile",2,42,2011,1.6,1,3.5,2.44
"E3805","Embedded",2,31,2014,1.33,1,3,8
"D2500","Desktop",2,42,2011,1.86,1,10,4
"C2316","Embedded",2,39,2017,1.5,1,7,16
"C2350","Server",2,43,2013,2,1,6,16
"C2516","Embedded",4,64,2017,1.4,2,10,32
"C2530","Server",4,70,2013,2.4,2,9,32
"C2550","Server",4,86,2013,2.6,2,14,64
"C2730","Server",8,150,2013,2.4,4,12,32
"C2750","Server",8,171,2013,2.6,4,20,64
"C2308","Embedded",2,60,2014,1.25,1,6,16
"C2338","Embedded",2,60,2013,2,1,7,16
"C2358","Embedded",2,60,2013,2,1,7,16
"C2508","Embedded",4,98,2014,1.25,2,9.5,32
"C2518","Embedded",4,91,2013,1.7,2,13,32
"C2538","Embedded",4,104,2013,2.4,2,15,64
"C2558","Embedded",4,104,2013,2.4,2,15,64
"C2718","Embedded",8,182,2013,2,4,18,32
"C2758","Embedded",8,208,2013,2.4,4,20,64
"C2738","Embedded",8,208,2013,2.4,4,20,64
"C3958","Server",16,449,2017,2,16,31,256
"C3955","Server",16,434,2017,2.4,16,32,256
"C3950","Server",16,389,2017,2.2,16,24,256
"C3830","Server",12,289,2017,2.3,12,21.5,256
"C3858","Server",12,332,2017,2,12,25,256
"C3850","Server",12,323,2017,2.4,12,25,256
"C3808","Server",12,369,2017,2,12,25,256
"C3758","Server",8,193,2017,2.2,16,25,256
"C3750","Server",8,171,2017,2.4,16,21,256
"C3708","Server",8,209,2017,1.7,16,17,256
"C3558","Server",4,86,2017,2.2,8,16,256
"C3538","Server",4,75,2017,2.1,8,15,256
"C3508","Server",4,86,2017,1.6,8,11.5,256
"C3338","Server",2,27,2017,2.2,4,9,128
"C3308","Server",2,32,2017,2.1,4,9.5,128
"D2550","Desktop",2,47,2012,1.86,1,10,4
"E3815","Embedded",1,31,2013,1.46,512,5,8
"E3825","Embedded",2,34,2013,1.33,1,6,8
"E3826","Embedded",2,37,2013,1.46,1,7,8
"E3827","Embedded",2,41,2013,1.75,1,8,8
"E3845","Embedded",4,52,2013,1.91,2,10,8
"N2800","Mobile",2,47,2011,1.86,1,6.5,4.88
"S1220","Server",2,54,2012,1.6,1,8.1,8
"S1240","Server",2,64,2012,1.6,1,6.1,8
"S1269","Server",2,80,2013,1.6,1,11.7,8
"S1279","Server",2,103,2013,1.6,1,13.1,8
"S1289","Server",2,120,2013,2,1,14.1,8
"E8000","Embedded",4,39,2016,1.04,2,5,8
"E620T","Embedded",1,22,2010,0.6,512,3.3,2
"E640","Embedded",1,29,2010,1,512,3.6,2
"E640T","Embedded",1,37,2010,1,512,3.6,2
"E660","Embedded",1,54,2010,1.3,512,3.6,2
"E660T","Embedded",1,64,2010,1.3,512,3.6,2
